Path:hsa00052 Galactose metabolism,Path:hsa00230 Purine metabolism,Path:hsa00310 Lysine degradation,Path:hsa00510 N-Glycan biosynthesis,Path:hsa00512 Mucin type O-glycan biosynthesis,Path:hsa00514 Other types of O-glycan biosynthesis,Path:hsa00534 Glycosaminoglycan biosynthesis-heparan sulfate/heparin,Path:hsa00562 Inositol phosphate metabolism,Path:hsa00650 Butanoate metabolism,Path:hsa01100 Metabolic pathways,Path:hsa01212 Fatty acid metabolism,Path:hsa01521 EGFR tyrosine kinase inhibitor resistance,Path:hsa01522 Endocrine resistance,Path:hsa01524 Platinum drug resistance,Path:hsa03008 Ribosome biogenesis in eukaryotes,Path:hsa03013 Nucleocytoplasmic transport,Path:hsa03250 Viral life cycle-HIV-1,Path:hsa03320 PPAR signaling pathway,Path:hsa03430 Mismatch repair,Path:hsa03460 Fanconi anemia pathway,Path:hsa04010 MAPK signaling pathway,Path:hsa04012 ErbB signaling pathway,Path:hsa04014 Ras signaling pathway,Path:hsa04015 Rap1 signaling pathway,Path:hsa04020 Calcium signaling pathway,Path:hsa04022 cGMP-PKG signaling pathway,Path:hsa04024 cAMP signaling pathway,Path:hsa04062 Chemokine signaling pathway,Path:hsa04064 NF-kappa B signaling pathway,Path:hsa04066 HIF-1 signaling pathway,Path:hsa04068 FoxO signaling pathway,Path:hsa04070 Phosphatidylinositol signaling system,Path:hsa04071 Sphingolipid signaling pathway,Path:hsa04072 Phospholipase D signaling pathway,Path:hsa04080 Neuroactive ligand-receptor interaction,Path:hsa04110 Cell cycle,Path:hsa04114 Oocyte meiosis,Path:hsa04120 Ubiquitin mediated proteolysis,Path:hsa04136 Autophagy-other,Path:hsa04137 Mitophagy-animal,Path:hsa04140 Autophagy-animal,Path:hsa04141 Protein processing in endoplasmic reticulum,Path:hsa04142 Lysosome,Path:hsa04144 Endocytosis,Path:hsa04145 Phagosome,Path:hsa04150 mTOR signaling pathway,Path:hsa04151 PI3K-Akt signaling pathway,Path:hsa04152 AMPK signaling pathway,Path:hsa04210 Apoptosis,Path:hsa04211 Longevity regulating pathway,Path:hsa04213 Longevity regulating pathway-multiple species,Path:hsa04216 Ferroptosis,Path:hsa04218 Cellular senescence,Path:hsa04260 Cardiac muscle contraction,Path:hsa04261 Adrenergic signaling in cardiomyocytes,Path:hsa04270 Vascular smooth muscle contraction,Path:hsa04310 Wnt signaling pathway,Path:hsa04330 Notch signaling pathway,Path:hsa04350 TGF-beta signaling pathway,Path:hsa04360 Axon guidance,Path:hsa04370 VEGF signaling pathway,Path:hsa04371 Apelin signaling pathway,Path:hsa04390 Hippo signaling pathway,Path:hsa04510 Focal adhesion,Path:hsa04512 ECM-receptor interaction,Path:hsa04514 Cell adhesion molecules,Path:hsa04520 Adherens junction,Path:hsa04530 Tight junction,Path:hsa04540 Gap junction,Path:hsa04550 Signaling pathways regulating pluripotency of stem cells,Path:hsa04610 Complement and coagulation cascades,Path:hsa04611 Platelet activation,Path:hsa04621 NOD-like receptor signaling pathway,Path:hsa04625 C-type lectin receptor signaling pathway,Path:hsa04630 JAK-STAT signaling pathway,Path:hsa04640 Hematopoietic cell lineage,Path:hsa04658 Th1 and Th2 cell differentiation,Path:hsa04660 T cell receptor signaling pathway,Path:hsa04662 B cell receptor signaling pathway,Path:hsa04664 Fc epsilon RI signaling pathway,Path:hsa04666 Fc gamma R-mediated phagocytosis,Path:hsa04668 TNF signaling pathway,Path:hsa04670 Leukocyte transendothelial migration,Path:hsa04710 Circadian rhythm,Path:hsa04713 Circadian entrainment,Path:hsa04720 Long-term potentiation,Path:hsa04721 Synaptic vesicle cycle,Path:hsa04722 Neurotrophin signaling pathway,Path:hsa04723 Retrograde endocannabinoid signaling,Path:hsa04724 Glutamatergic synapse,Path:hsa04725 Cholinergic synapse,Path:hsa04726 Serotonergic synapse,Path:hsa04727 GABAergic synapse,Path:hsa04728 Dopaminergic synapse,Path:hsa04730 Long-term depression,Path:hsa04742 Taste transduction,Path:hsa04750 Inflammatory mediator regulation of TRP channels,Path:hsa04810 Regulation of actin cytoskeleton,Path:hsa04910 Insulin signaling pathway,Path:hsa04911 Insulin secretion,Path:hsa04912 GnRH signaling pathway,Path:hsa04913 Ovarian steroidogenesis,Path:hsa04914 Progesterone-mediated oocyte maturation,Path:hsa04915 Estrogen signaling pathway,Path:hsa04916 Melanogenesis,Path:hsa04917 Prolactin signaling pathway,Path:hsa04918 Thyroid hormone synthesis,Path:hsa04919 Thyroid hormone signaling pathway,Path:hsa04920 Adipocytokine signaling pathway,Path:hsa04921 Oxytocin signaling pathway,Path:hsa04922 Glucagon signaling pathway,Path:hsa04923 Regulation of lipolysis in adipocytes,Path:hsa04925 Aldosterone synthesis and secretion,Path:hsa04926 Relaxin signaling pathway,Path:hsa04927 Cortisol synthesis and secretion,Path:hsa04928 Parathyroid hormone synthesis secretion and action,Path:hsa04929 GnRH secretion,Path:hsa04930 Type II diabetes mellitus,Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications,Path:hsa04934 Cushing syndrome,Path:hsa04935 Growth hormone synthesis secretion and action,Path:hsa04936 Alcoholic liver disease,Path:hsa04950 Maturity onset diabetes of the young,Path:hsa04960 Aldosterone-regulated sodium reabsorption,Path:hsa04961 Endocrine and other factor-regulated calcium reabsorption,Path:hsa04970 Salivary secretion,Path:hsa04971 Gastric acid secretion,Path:hsa04972 Pancreatic secretion,Path:hsa04973 Carbohydrate digestion and absorption,Path:hsa04974 Protein digestion and absorption,Path:hsa04976 Bile secretion,Path:hsa04979 Cholesterol metabolism,Path:hsa05010 Alzheimer disease,Path:hsa05017 Spinocerebellar ataxia,Path:hsa05022 Pathways of neurodegeneration-multiple diseases,Path:hsa05030 Cocaine addiction,Path:hsa05031 Amphetamine addiction,Path:hsa05032 Morphine addiction,Path:hsa05033 Nicotine addiction,Path:hsa05100 Bacterial invasion of epithelial cells,Path:hsa05130 Pathogenic Escherichia coli infection,Path:hsa05131 Shigellosis,Path:hsa05132 Salmonella infection,Path:hsa05135 Yersinia infection,Path:hsa05142 Chagas disease,Path:hsa05144 Malaria,Path:hsa05145 Toxoplasmosis,Path:hsa05146 Amoebiasis,Path:hsa05152 Tuberculosis,Path:hsa05160 Hepatitis C,Path:hsa05162 Measles,Path:hsa05163 Human cytomegalovirus infection,Path:hsa05165 Human papillomavirus infection,Path:hsa05166 Human T-cell leukemia virus 1 infection,Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection,Path:hsa05168 Herpes simplex virus 1 infection,Path:hsa05169 Epstein-Barr virus infection,Path:hsa05170 Human immunodeficiency virus 1 infection,Path:hsa05200 Pathways in cancer,Path:hsa05202 Transcriptional misregulation in cancer,Path:hsa05205 Proteoglycans in cancer,Path:hsa05206 MicroRNAs in cancer,Path:hsa05207 Chemical carcinogenesis-receptor activation,Path:hsa05210 Colorectal cancer,Path:hsa05211 Renal cell carcinoma,Path:hsa05212 Pancreatic cancer,Path:hsa05213 Endometrial cancer,Path:hsa05214 Glioma,Path:hsa05215 Prostate cancer,Path:hsa05216 Thyroid cancer,Path:hsa05217 Basal cell carcinoma,Path:hsa05218 Melanoma,Path:hsa05219 Bladder cancer,Path:hsa05220 Chronic myeloid leukemia,Path:hsa05221 Acute myeloid leukemia,Path:hsa05222 Small cell lung cancer,Path:hsa05223 Non-small cell lung cancer,Path:hsa05224 Breast cancer,Path:hsa05225 Hepatocellular carcinoma,Path:hsa05226 Gastric cancer,Path:hsa05230 Central carbon metabolism in cancer,Path:hsa05231 Choline metabolism in cancer,Path:hsa05235 PD-L1 expression and PD-1 checkpoint pathway in cancer,Path:hsa05410 Hypertrophic cardiomyopathy,Path:hsa05412 Arrhythmogenic right ventricular cardiomyopathy,Path:hsa05414 Dilated cardiomyopathy,Path:hsa05417 Lipid and atherosclerosis,Path:hsa05418 Fluid shear stress and atherosclerosis
GAA,ADCY1,SMYD1,MAN1A2,B3GNT3,POMT1,EXT1,PIKFYVE,ACSM2A,GNE,CPT1C,BCL2L11,CDKN1B,ABCC2,MPHOSPH10,SRRM1,SERINC3,SORBS1,MLH3,POLI,RASGRP1,CDKN1B,RASGRP1,RASGRP2,TRDN,KCNMB2,HCN4,RASGRP2,EDAR,CDKN1B,BCL2L11,DGKK,ADORA3,RAPGEF3,CALCRL,CDK6,ADCY1,HUWE1,ATG4A,CSNK2A1,RRAGB,PDIA6,AP4B1,ACTR3,CLEC4M,RRAGB,BCL2L11,CAMKK2,BCL2L11,CAMKK2,ADCY1,ATG7,RAD50,CACNG3,CACNG3,CALCRL,FZD10,CREBBP,CREBBP,SEMA3A,PLA2G4E,HDAC5,YAP1,LAMC3,COL1A1,CDH5,BAIAP2,ACTR3,TUBB3,PCGF3,MASP2,RASGRP1,DNM1L,CLEC4M,PIAS3,CR1,CHUK,RASGRP1,VAV3,VAV3,ACTR3,DNM1L,CDH5,CRY1,ADCY1,ADCY1,UNC13B,FRS2,ADCY1,ADCY1,ADCY1,RAPGEF3,ADCY1,ADCY5,PLA2G4E,ADCY6,ADCY1,ACTR3,SORBS1,ADCY1,ADCY1,ADCY1,ADCY1,NCOA2,ADCY1,SOCS4,ADCY1,RCAN2,CAMKK2,CACNG3,ADCY2,ADCY1,ADCY1,ADCY1,ADCY1,SLC34A2,AKT2,MTOR,CDKN1B,CDK6,ADCY1,CAMKK2,RFX6,ATP1B4,ADCY9,ADCY2,ADCY2,ADCY1,AKT2,SLC7A9,SLCO1B1,STARD3,ADAM10,NOP56,TRAP1,ADCY5,ADCY5,ADCY1,CHRNB2,ACTR3,ACTR3,ACTR3,ACTR3,ACTR3,TLR6,CR1,LAMC3,LAMC3,CLEC4M,CDK6,CDK6,CDK6,CDK6,ADCY1,CDK6,ZNF730,BCL2L11,AP1M2,BCL2L11,CDKN1B,VAV3,BCL2L11,ADCY1,BCL2L11,PAK6,CDK6,CTNNA1,CDK6,CDKN1B,CTNNB1,FZD10,CDK6,DAPK1,CDK6,CEBPA,CDK6,CDK6,CDK6,CDK6,CDH17,EGFR,WASF2,RASGRP1,CACNG2,CACNG3,CACNG3,TLR6,CDH5
GANC,ADCY2,DLST,MGAT4A,GALNT5,GALNT5,EXT2,INPP5F,EHHADH,PIGK,CPT1A,EGF,CARM1,ERBB2,NXF1,NXF1,CPSF6,ME3,MSH6,ERCC1,RASGRP2,PAK6,RASGRP2,RAPGEF3,ADCY1,ADCY1,ABCC4,VAV3,CHUK,CREBBP,CDKN1B,DGKA,MAPK14,ADCY1,NPFFR2,CDKN1B,STAG3,UBE4B,ATG2A,CSNK2A2,ATG7,UBE4B,AP3M2,ACTR2,TLR6,TBC1D7,CDK6,CFTR,TUBA3E,ADCY1,ADCY2,CP,HIPK3,CACNG2,CACNG2,KCNMB2,CREBBP,CTBP1,DCN,SEMA6C,MAPK14,ADCY1,FZD10,VAV3,COL1A2,CDH15,SORBS1,ACTR2,TUBB4A,FZD10,CFHR4,RASGRP2,NAMPT,NLRP3,SOCS4,CR1L,MAPK14,VAV3,CHUK,PLA2G4E,ACTR2,CHUK,RAPGEF3,FBXW11,ADCY2,ADCY8,CPLX2,PRDM4,ADCY2,ADCY2,ADCY2,ADCY5,ADCY2,ATF2,PLCB1,CHRM3,ADCY2,ACTR2,PPARGC1A,ADCY2,MAP3K2,ADCY2,ADCY2,ADCY1,ADCY2,MAPK14,ADCY2,NCOA2,PPARGC1A,CACNG2,PPARGC1A,ADCY2,ADCY2,ADCY2,ADCY2,ADCY1,PLCB1,HK1,COL1A1,CDKN1B,ADCY2,PPARGC1A,NR5A2,IGF1,AP2M1,ADCY3,CFTR,ADCY2,PLCB1,SLC16A10,ADCY1,OSBPL5,RTN3,AFG3L2,TUBB3,GRIN3A,GRIN3A,ADCY2,GRIN3A,ACTR2,ACTR2,ACTR2,ACTR2,ACTR2,ADCY1,CR1L,CHUK,ADCY1,TLR6,CLDN16,CDKN1B,ADCY1,CDKN1B,ADCY2,CHUK,ZNF737,CDK6,PAK6,RASGRP1,CEBPA,FRS2,CDK6,UGT2B11,CTNNB1,CREBBP,RALBP1,CTNNA2,E2F1,CHUK,KRAS,CTNNB1,E2F1,E2F1,CDKN1B,CHUK,CDKN1B,E2F1,FZD10,FZD10,CDKN1B,ERBB2,WASF3,CHUK,DAG1,CACNG2,CACNG2,VAV3,CHUK
B4GALT1,PDE10A,EHHADH,ALG10B,GALNT13,GALNT13,EXTL1,SACM1L,GAD1,NAMPT,EHHADH,EGFR,ADCY1,ERCC1,NOP56,IPO8,PSIP1,SLC27A4,LIG1,ERCC4,CACNG3,NRG3,PAK6,VAV3,ADCY2,ADCY2,RAPGEF3,ADCY1,EDARADD,CYBB,CDKN2D,DGKB,S1PR1,ADCY2,CHRM2,STAG1,ADCY2,PIAS3,ATG4B,E2F1,CAMKK2,DNAJA2,CLTC,ARPC1A,TUBB3,FZD10,CDKN1B,PPARGC1A,CHUK,ADCY2,ADCY3,CYBB,CDK6,SLC9A6,RAPGEF3,ADCY1,PRICKLE1,CTBP2,E2F5,SEMA4F,AKT2,ADCY2,FRMD6,PAK6,COL2A1,CLDN16,WASF3,ARPC1A,ADCY1,MAPK14,CFHR3,ADCY1,NOD1,CHUK,CREBBP,CR2,JAG1,PAK6,PIK3AP1,MAPK14,WASF2,MAP3K8,VAV3,FBXL3,ADCY3,CREBBP,AP2M1,IRAK3,ADCY3,ADCY3,ADCY3,PLA2G4E,ADCY3,MAPK14,GNA12,ADCY8,ADCY3,ABI2,SOCS4,ADCY3,ADCY2,ADCY3,ADCY3,ADCY2,ADCY3,ELF5,ADCY3,MED12L,CHUK,CAMKK2,CPT1C,ADCY3,ADCY3,ADCY3,ADCY3,ADCY2,GNAQ,HK2,COL1A2,ADCY1,ADCY3,CHUK,FOXA2,INSR,CLTC,ADCY5,ADCY3,CFTR,ATP1B4,SLC36A4,UGT2B11,CYP7A1,TUBB3,ATXN2L,TUBB4A,ATF2,ATF2,PDE10A,SLC32A1,WASF2,WASF2,WASF2,TLR6,WASF2,CHUK,HGF,CCR5,COL1A1,CEBPG,CHUK,ADAR,ADCY2,LAMC3,ADCY3,CCR5,ZNF443,CDKN1B,CHUK,CDK6,CSF1R,HPSE,CDKN1B,ADCY2,DCC,CRKL,CHUK,CTNNB1,E2F3,CREBBP,MYC,DVL2,E2F3,E2F3,CHUK,CSF1R,LAMC3,E2F3,CSNK1A1,CSNK1A1,FZD10,AKT2,PLA2G4E,MAPK14,ACE,CTNNA1,ADCY1,NLRP3,MAPK14
HK1,ADCY3,MECOM,MGAT5B,GALNT15,GALNT15,EXTL2,PLCH1,GAD2,AASS,ACSF3,ERBB2,ADCY2,AKT2,POP4,IPO7,CCR5,CPT1C,MLH1,FANCA,CACNG2,CRKL,RALBP1,ADCY1,ADCY3,ADCY3,VAV3,ADCY2,PARP1,EGF,PLK4,DGKG,S1PR3,ADCY3,CHRM3,CDKN2D,ADCY3,WWP1,MTOR,MRAS,ATG4A,SEC24B,NCOA7,ARFGEF2,TUBB4A,CHUK,LAMC3,CPT1C,PARP1,PPARGC1A,ADCY5,ACSL1,CHEK2,ATP1B4,ADCY1,ADCY2,CSNK1A1,DTX3L,EP300,SEMA4D,PLA2G4D,PPARGC1A,CTNNA1,COL1A1,COL4A1,SLITRK1,SSX2IP,CLDN16,MAP3K2,CTNNB1,VSIG4,ADCY2,TXNIP,MAPK14,CSF2RA,CSF1,GATA3,CHUK,CR2,AKT2,VAV3,ATF2,CLDN16,ARNTL,ADCY5,EP300,CLTC,CRKL,ADCY5,SLC38A3,ADCY5,CYP2C19,SLC38A3,CREB3L4,GNAI3,HTR3C,ADCY5,WASF2,CRKL,RAPGEF4,ADCY3,ADCY5,ADCY5,ADCY3,ADCY5,AKT2,ADCY5,SLC16A10,CPT1C,ADCY1,CPT1A,ADCY5,ADCY5,ADCY5,ADCY5,ADCY3,HCN1,HK3,COL3A1,ADCY2,ADCY5,ADH1C,HNF4A,IRS1,AP2A1,ADCY6,ADCY5,ADCY3,AMY2A,COL1A1,ADCY2,ABCA1,TUBB4A,GRIN3A,FZD10,CREB3L4,CREB3L4,ADCY3,GABRR3,ARPC1A,TUBB3,RRAGB,TUBB3,VAV3,MAPK14,ICAM1,MAPK14,COL1A2,CR1,TICAM1,CLEC4M,ADCY3,TADA3,ADCY5,CREBBP,ZNF267,CHUK,CCR5,RASGRP2,ERG,FZD10,IGF2BP1,ADCY3,EGF,EP300,E2F1,EGF,EGF,CREB3L4,NRAS,DVL3,EGF,EGF,CRKL,AKT2,CHUK,EGF,CTNNB1,CTNNB1,CSNK1A1,FGFR1,SLC44A3,CSNK2A1,DMD,CTNNA2,ADCY2,CHUK,CTNNB1
HK2,ADCY5,EZH1,GANAB,GALNTL5,XXYLT1,EXTL3,PLCB1,HADHA,ALG3,ACSL1,ERBB3,ADCY3,MSH6,UTP14A,NUP50,CREBBP,CPT1A,MSH2,FANCC,MAP3K2,EGF,CHUK,ADCY2,CHRM2,ADCY5,ADCY1,ADCY3,CSNK2A1,EGFR,PLK2,DGKH,AKT2,RAPGEF4,CHRM4,STAG2,ADCY5,WWP2,ATG9B,FOXO3,RAB39B,SEC23B,HGSNAT,ARFGEF1,TUBA3E,DVL2,CDC37,CPT1A,PARP4,ADCY3,ADCY6,ACSL3,LIN54,ASPH,ADCY2,ADCY3,CSNK2A1,JAG1,FBN1,SEMA3C,KDR,ADCY3,CTNNA2,COL1A2,COL4A2,CNTN1,CREBBP,CFTR,ADCY2,DVL2,CLU,ADCY3,NLRP3,CYLD,CSF2RB,CSF1R,RBPJ,MAP3K8,AKT2,FYN,ARPC1A,MAPK14,RAPGEF4,NFIL3,ADCY6,PLCB1,SLC32A1,MAPK14,ADCY6,ADCY5,ADCY6,CYP2C8,ADCY5,DDC,GNAO1,HTR3D,ADCY6,VAV3,ELK1,ADCY5,ADCY5,ADCY6,ADCY6,ADCY5,ADCY6,ESR1,ADCY6,CREBBP,CPT1A,ADCY2,ATF2,ADCY6,ADCY6,ADCY6,ADCY6,ADCY5,ITPR1,IKBKB,COL4A1,ADCY3,ADCY6,CPT1C,HNF4G,KRAS,AP2B1,ADCY7,ADCY6,ADCY5,AMY2B,COL1A2,CFTR,ANGPTL3,FZD10,DAB1,TUBA3E,DDC,DDC,ADCY5,SLC17A8,CLTC,TUBB4A,NOD1,TUBB4A,BAIAP2,TICAM1,ITGAL,PIK3R6,COL3A1,CR1L,CTNNB1,CHUK,ADCY5,CHD4,ADCY6,MAPK14,NXF1,CR2,CRKL,CDKN1B,ETV1,COL1A1,TRIM71,UGT2A1,EGFR,EPAS1,E2F3,EGFR,EGFR,CTNNB1,NTRK1,GLI1,EGFR,EGFR,CTBP1,FCGR1A,COL4A1,EGFR,JAG1,DVL2,CTNNA1,FGFR2,DGKK,CSNK2A2,AGT,CTNNB1,ADCY3,MAPK14,AKT2
HK3,ADCY6,EZH2,FUT8,ST6GALNAC3,GALNTL5,NDST1,INPP5J,HMGCS2,GPHN,ACSL3,AKT2,ADCY5,APAF1,WDR3,XPOT,APOBEC3F,CYP7A1,MSH3,FANCD2,DUSP10,EGFR,RASGRP4,ADCY3,ADCY7,ADCY6,ADCY2,ADCY5,CSNK2A2,EP300,CHUK,PIKFYVE,PLCB1,ADCY5,CHRM5,DBF4,ADCY6,ERCC8,PIK3R4,CSNK2A3,DAPK1,SEC23A,CTSK,WWP1,CTSS,DVL3,CHRM2,ADRA1A,CSF2RB,ADCY5,ADCY7,ACSL4,MAPK14,MYH6,ADCY3,ADCY5,CSNK2A2,DVL2,ID1,PAK6,KRAS,ADCY5,CTNNB1,COL2A1,COL4A3,SLITRK4,CSNK2A1,TUBA3E,ADCY3,DVL3,CR1,ADCY5,CHUK,EGR2,CSF3R,CSF2RA,IKBKB,MAPK14,RASGRP3,PLA2G4D,WASF3,CSF1,MAPK14,NPAS2,ADCY7,RPS6KA6,AP2A1,AKT2,ADCY7,ADCY6,CHRM2,DDC,ADCY6,DRD1,GNAQ,PLCB1,ADCY7,BAIAP2,AKT2,ADCY6,ADCY6,ADCY7,ADCY7,ADCY6,FZD10,FOXO3,ADCY7,CTNNB1,AKT2,ADCY3,CREBBP,ADCY7,ADCY7,ADCY7,ADCY7,ADCY6,ITPR2,INSR,COL4A2,WDR5,ADCY7,ADH6,ONECUT1,NR3C2,DNM1,CHRM3,ADCY7,ADCY6,HK1,COL2A1,SLC22A7,MYLIP,TUBA3E,AKT2,ATXN2L,DLG4,DRD1,ADCY6,GABRA1,CRKL,SEC24B,ARPC1A,NOD1,ARPC1A,ACE,ITGB2,AKT2,COL4A1,CREBBP,E2F1,CSNK2A1,ADCY6,FZD10,CHEK2,PIK3R6,ZNF234,MAPK14,MAPK14,LAMC3,ETV5,COL1A2,CREBBP,ADCY5,AKT2,AKT2,EGF,ELK1,AKT2,E2F1,LEF1,GLI2,AKT2,ERBB2,CTBP2,FLT3,COL4A2,ERBB2,DVL2,DVL3,CTNNA2,FLT3,DGKA,TICAM1,ITGA11,DAG1,ADCY5,TICAM1,NOX1
LCT,ADCY7,ALDH1B1,B4GALT1,GALNT1,COLGALT2,XYLT2,IMPA1,ACSM4,CBS,ACSL4,FGFR2,ADCY6,XIAP,POP1,CSE1L,EP300,EHHADH,PMS2,FANCB,CHUK,ELK1,PLA2G4E,RAPGEF4,CHRM3,ADCY7,CFTR,ADCY6,TICAM1,ERBB2,FBXO32,INPP5F,FYN,ADCY6,CHRNA2,CHEK2,ADCY7,DDB1,IGBP1,ATG9B,C9orf72,SEC24A,CTSS,VPS45,CYBB,EIF4B,CHUK,CREB3L4,CTSK,ADCY6,ADCY8,ACSL6,RAD9B,MYH7,RAPGEF4,ADCY6,APCDD1,DVL3,INHBA,UNC5D,NFATC2,ADCY6,AMOT,COL4A1,COL4A4,VCAN,CSNK2A2,SYNPO,ADCY5,AKT2,CR1L,ADCY6,GBP4,EGR3,EGF,CSF3R,IL2RG,DLG1,BLNK,KRAS,PLA2G4E,CREB3L4,CTNNA1,PRKAG2,ADCY8,GNAQ,AP2B1,FOXO3,ADCY8,ADCY7,ADCY7,HTR3C,ADCY7,DRD2,GNAS,GABRA1,ADCY8,ARPC1A,FASN,ADCY7,ADCY7,ADCY8,ADCY8,ADCY7,ADCY7,JAK2,ADCY8,DIO2,ACSL1,ADCY5,CREB3L4,ADCY8,ADCY8,ADCY8,ADCY8,AKAP13,ITPR3,IRS1,COL4A3,ADCY5,ADCY8,CPT1A,HES1,ATP1A1,DNM2,ADCY8,CHRM3,ADCY7,HK2,COL3A1,ADCY3,APOB,CHRM3,ATG14,CHRM3,DRD1,SIRT1,ADCY7,GABRA2,CTNNA1,BAIAP2,GLMN,ARPC1A,NLRP3,AKT2,LRP1,LAMB4,COL4A2,MAPK14,E2F3,CSNK2A2,AKAP13,CHUK,ADCY7,TICAM1,ZNF273,E2F1,AP1B1,CEBPA,ETV6,MAPK14,CRKL,ADCY6,MTOR,ETS1,EGFR,ERBB2,MTOR,E2F3,POLK,GLI3,FGF5,ARAF,E2F1,MTOR,COL4A3,AKT2,DVL3,E2F1,CTNNB1,MTOR,DGKB,EGF,LAMA1,DMD,ADCY6,CYBB,HSP90AB1
PFKL,ADCY8,ALDH9A1,ALG6,GALNT2,POFUT2,NDST4,INPP4A,ACSM2B,B3GNT3,FASN,FOXO3,ADCY7,MAP3K5,WDR36,CASC3,ELL2,ACSL1,POLD1,HES1,RASGRP4,ERBB2,CSF1,ADCY5,CHRM5,ADCY8,PDE10A,ADCY7,CYLD,AKT2,AGAP2,SACM1L,SGMS1,ADCY7,CHRNA3,CREBBP,ADCY8,TRIM32,PIK3C3,TBK1,AKT2,HSPH1,AP1B1,ARAP2,DYNC1H1,AKT2,THEM4,EEF2,CTSS,ADCY7,ADCY9,SLC39A14,HIPK4,ATP1A1,ADCY5,ADCY7,CTBP1,EP300,RHOA,DCC,NOS3,ADCY7,DLG1,COL4A2,COL4A5,IGSF11,CTNNA1,IGSF5,ADCY6,ESRRB,CR2,ADCY7,GBP5,AKT2,EGFR,DNTT,IL4R,AKT2,IKBKB,LCP2,CRKL,DAB2IP,CTNNA2,PER1,ADCY9,GRIA1,DNM1,ABL1,ADCY9,ADCY8,CHRM3,HTR3D,ADCY8,DRD5,GNAZ,GABRA2,ADCY9,PAK6,FOXO1,CHRM3,ADCY8,ADCY9,ADCY9,ADCY8,ADCY8,KRAS,ADCY9,DIO3,ACSL3,ADCY6,SIK1,ADCY9,ADCY9,ADCY9,ADCY9,ADCY7,KCNJ3,MAFA,COL4A4,ADCY6,ADCY9,MAPK14,MAFA,ATP1A2,ESR1,ADCY9,ADCY8,CHRM3,HK3,COL4A1,UGT2A1,LDLR,CHRM5,ATG2A,CHRM5,DRD2,FOSB,ADCY8,GABRA3,CTNNA2,ARPC1A,NLRP3,EXOC5,CHUK,PLCB1,MET,TAB2,COL4A3,CTSS,EGF,AKT2,ADCY7,COL1A1,ADCY8,CTNNB1,ZNF268,E2F3,AP1G1,ADCY1,EWSR1,CTNNB1,CYP1B1,ADCY7,APPL1,FH,ERBB2,AKT2,IGF1,EGF,MAPK1,APC,FGFR1,KRAS,E2F3,IKBKB,COL4A4,FOXO3,E2F1,E2F3,DVL2,G6PD,DGKG,EGFR,IGF1,DSC2,ADCY7,CYP2B6,ICAM1
PFKM,ADCY9,SETD1B,STT3A,GALNT3,POFUT1,NDST2,INPP5A,ACAT1,CDO1,ACSBG1,MTOR,ADCY8,MLH1,CSNK2A1,NCBP2,BICD2,ACSL3,RFC1,POLN,PLA2G4E,ERBB3,CSF1R,ADCY6,ADCY8,ADCY9,ADCY3,ADCY8,EDA,FLT1,CREBBP,PLCB1,GNA12,ADCY8,CHRNB2,E2F1,ADCY9,RHOBTB2,ATG2B,HIF1A,MRAS,MAN1A2,AP1G1,ARAP1,DYNC1I1,LPIN1,PIK3AP1,ELAVL1,DAB2IP,ADCY8,AKT2,SLC7A11,E2F1,ATP1A2,ADCY6,ADCY8,CTBP2,DTX4,GDF6,DPYSL2,NRAS,ADCY8,AFP,COL4A3,COL4A6,ALCAM,CTNNA2,AMOT,TUBA3E,FGFR1,F2,ADCY8,ANTXR2,MRAS,EP300,EPOR,IL12RB1,FYN,INPPL1,NRAS,DNM2,JAG1,CTNNB1,PRKAA1,ADCYAP1R1,GRIA2,DNM2,GAB1,CNR1,ADCY9,CHRM4,PLCB1,ADCY9,AKT2,PLA2G4D,GABRA3,PLA2G4E,NCKAP1,EXOC7,ADCY8,ADCY9,PLA2G4E,CPEB2,ADCY9,ADCY9,LHCGR,ATF2,EP300,ACSL4,ADCY7,CRTC2,ADRB1,ATF2,RXFP2,ATF2,ADCY8,KCNN3,PIK3CA,COL4A5,FZD10,ATF2,TICAM1,NKX2-2,ATP1A3,PLCB1,ADRA1A,ADCY9,ADCY8,LCT,COL4A2,ADCY5,LPA,CHUK,CIC,RAB39B,FOSB,GNAS,ADCY9,GABRA4,CTNNB1,CLDN16,CHUK,NCKAP1,CRKL,GNAI3,TLR9,PIK3R5,COL4A4,EP300,EGFR,TAB2,ADCY8,COL1A2,CHUK,E2F1,ZNF275,AKT2,DDB1,ADCY2,EYA1,DCN,DNMT1,CHRNA3,MSH6,GAB1,AKT2,FOXO3,IGF1R,EGFR,BAK1,KIF7,HGF,MMP2,AKT2,ITGAM,COL4A5,ALK,E2F3,EGFR,DVL3,GLS,DGKH,AKT2,ITGA6,DSG2,ADCY8,CYP2C8,IKBKB
